gene	HalfLife_vals_logPhase	HalfLife_cls_logPhase	HalfLife_BestIntervalMSE_logPhase	HalfLife_vals_hypoxia	HalfLife_cls_hypoxia	HalfLife_BestIntervalMSE_hypoxia	HalfLife_FC_hypoxiaToLogPhase	HalfLife_FCcls_hypoxiaToLogPhase
MSMEG_6072	0.99	Med-slow	0.0266	NA	NA	NA	NA	NA
MSMEG_6073	0.68	Fast	0.0803	39.07	Slow	0.0891	57.46	Large
MSMEG_6074	0.79	Med-fast	0.01	23.06	Med-fast	0.0577	29.19	Med-large
MSMEG_6075	1.06	Med-slow	0.0541	45.13	Slow	0.092	42.58	Large
MSMEG_6076	1.18	Med-slow	0.0215	27.54	Med-slow	0.1502	23.34	Med-small
MSMEG_6077	0.88	Med-fast	0.028	19.45	Med-fast	0.2063	22.1	Med-small
MSMEG_6078	0.82	Med-fast	0.0712	18.69	Med-fast	0.1004	22.79	Med-small
MSMEG_6079	1.04	Med-slow	0.014	21.5	Med-fast	0.0697	20.67	Med-small
MSMEG_6080	0.63	Fast	0.0663	19.68	Med-fast	0.1314	31.24	Med-large
MSMEG_6081	NA	NA	NA	16.82	Fast	0.1344	NA	NA
MSMEG_6082	NA	NA	NA	45.61	Slow	0.0525	NA	NA
MSMEG_6083	0.6	Fast	0.0748	NA	NA	NA	NA	NA
MSMEG_6085	0.68	Fast	0.0366	20.25	Med-fast	0.3259	29.78	Med-large
MSMEG_6086	0.83	Med-fast	0.0536	120.09	Slow	0.1511	144.69	Large
MSMEG_6087	0.6	Fast	0.1453	26.71	Med-slow	0.2153	44.52	Large
MSMEG_6088	1.32	Med-slow	0.0402	57.97	Slow	0.0771	43.92	Large
MSMEG_6089	1.61	Slow	0.0591	32.65	Med-slow	0.077	20.28	Med-small
MSMEG_6090	3.41	Slow	0.1002	14.7	Fast	0.0785	4.31	Small
MSMEG_6091	0.81	Med-fast	0.0597	31.51	Med-slow	0.071	38.9	Med-large
MSMEG_6092	0.95	Med-fast	0.0735	16.04	Fast	0.1487	16.88	Small
MSMEG_6093	0.59	Fast	0.3567	NA	NA	NA	NA	NA
MSMEG_6094	0.77	Med-fast	0.02	22.62	Med-fast	0.0418	29.38	Med-large
MSMEG_6095	1.15	Med-slow	0.0828	NA	NA	NA	NA	NA
MSMEG_6096	0.84	Med-fast	0.0587	NA	NA	NA	NA	NA
MSMEG_6097	1.03	Med-slow	0.063	59	Slow	0.1437	57.28	Large
MSMEG_6098	0.79	Med-fast	0.0562	26.65	Med-slow	0.062	33.73	Med-large
MSMEG_6099	1.18	Med-slow	0.0243	17.94	Med-fast	0.1089	15.2	Small
MSMEG_6100	1.61	Slow	0.4642	NA	NA	NA	NA	NA
MSMEG_6101	1.36	Med-slow	0.4607	28.42	Med-slow	0.0743	20.9	Med-small
MSMEG_6103	NA	NA	NA	82.68	Slow	0.0522	NA	NA
MSMEG_6104	0.61	Fast	0.1081	109.7	Slow	0.1006	179.84	Large
MSMEG_6105	0.75	Med-fast	0.0735	28.3	Med-slow	0.0719	37.73	Med-large
MSMEG_6106	0.82	Med-fast	0.1471	23.31	Med-fast	0.2472	28.43	Med-large
MSMEG_6107	0.83	Med-fast	0.2098	NA	NA	NA	NA	NA
MSMEG_6108	0.73	Med-fast	0.168	NA	NA	NA	NA	NA
MSMEG_6109	0.68	Fast	0.1038	13.94	Fast	0.1426	20.5	Med-small
MSMEG_6110	0.69	Fast	0.0677	17.96	Med-fast	0.1587	26.03	Med-small
MSMEG_6111	0.7	Fast	0.0554	784.36	Slow	0.1232	1120.51	Large
MSMEG_6112	0.78	Med-fast	0.2157	37.8	Med-slow	0.0851	48.46	Large
MSMEG_6113	0.96	Med-slow	0.0215	23.04	Med-fast	0.1543	24	Med-small
MSMEG_6114	1.26	Med-slow	0.0303	61.42	Slow	0.1599	48.75	Large
MSMEG_6116	0.8	Med-fast	0.0356	NA	NA	NA	NA	NA
MSMEG_6117	1.78	Slow	0.1566	NA	NA	NA	NA	NA
MSMEG_6123	1.01	Med-slow	0.1529	NA	NA	NA	NA	NA
MSMEG_6125	0.78	Med-fast	0.1064	16.27	Fast	0.2175	20.86	Med-small
MSMEG_6126	1.21	Med-slow	0.0447	10.78	Fast	0.1559	8.91	Small
MSMEG_6127	0.53	Fast	0.0523	15.37	Fast	0.2366	29	Med-large
MSMEG_6128	0.95	Med-fast	0.0815	173.08	Slow	0.0653	182.19	Large
MSMEG_6129	0.4	Fast	0.0203	14.35	Fast	0.1082	35.88	Med-large
MSMEG_6130	0.61	Fast	0.1319	50.03	Slow	0.0938	82.02	Large
MSMEG_6131	0.45	Fast	0.2388	11.96	Fast	0.1563	26.58	Med-large
MSMEG_6132	NA	NA	NA	472.47	Slow	0.3818	NA	NA
MSMEG_6133	1.86	Slow	0.3059	NA	NA	NA	NA	NA
MSMEG_6134	0.99	Med-slow	0.205	18.29	Med-fast	0.0977	18.47	Small
MSMEG_6135	0.68	Fast	0.0345	23.39	Med-fast	0.2158	34.4	Med-large
MSMEG_6136	0.57	Fast	0.0304	17.84	Med-fast	0.2024	31.3	Med-large
MSMEG_6137	1.28	Med-slow	0.0212	47.18	Slow	0.1261	36.86	Med-large
MSMEG_6138	NA	NA	NA	87.81	Slow	0.0914	NA	NA
MSMEG_6139	0.68	Fast	0.1785	38.21	Med-slow	0.1607	56.19	Large
MSMEG_6140	2.03	Slow	0.2644	78.09	Slow	0.0824	38.47	Med-large
MSMEG_6141	0.67	Fast	0.0718	19.15	Med-fast	0.086	28.58	Med-large
MSMEG_6142	0.62	Fast	0.0221	18.89	Med-fast	0.051	30.47	Med-large
MSMEG_6143	0.8	Med-fast	0.0639	33.11	Med-slow	0.2887	41.39	Large
MSMEG_6144	NA	NA	NA	16.47	Fast	0.2495	NA	NA
MSMEG_6145	0.41	Fast	0.4393	7.96	Fast	0.1151	19.41	Med-small
MSMEG_6146	0.65	Fast	0.1793	11.26	Fast	0.259	17.32	Small
MSMEG_6148	0.8	Med-fast	0.0914	21.13	Med-fast	0.155	26.41	Med-small
MSMEG_6149	0.83	Med-fast	0.0316	23.39	Med-fast	0.1786	28.18	Med-large
MSMEG_6150	1.7	Slow	0.3973	NA	NA	NA	NA	NA
MSMEG_6151	0.96	Med-slow	0.0961	29.16	Med-slow	0.318	30.38	Med-large
MSMEG_6153	0.8	Med-fast	0.0111	20.07	Med-fast	0.1392	25.09	Med-small
MSMEG_6154	0.75	Med-fast	0.0279	25.75	Med-slow	0.118	34.33	Med-large
MSMEG_6155	0.79	Med-fast	0.095	32.74	Med-slow	0.1155	41.44	Large
MSMEG_6156	0.86	Med-fast	0.0271	20.87	Med-fast	0.1779	24.27	Med-small
MSMEG_6157	0.68	Fast	0.0964	25.94	Med-slow	0.04	38.15	Med-large
MSMEG_6158	1.08	Med-slow	0.0499	19.85	Med-fast	0.2083	18.38	Small
MSMEG_6159	2.94	Slow	0.1682	18.63	Med-fast	0.2403	6.34	Small
MSMEG_6160	0.97	Med-slow	0.1131	27.56	Med-slow	0.1251	28.41	Med-large
MSMEG_6161	0.84	Med-fast	0.0874	19.29	Med-fast	0.1214	22.96	Med-small
MSMEG_6162	0.84	Med-fast	0.0651	22.11	Med-fast	0.1561	26.32	Med-small
MSMEG_6163	0.69	Fast	0.0539	29.31	Med-slow	0.25	42.48	Large
MSMEG_6164	1.86	Slow	0.1013	NA	NA	NA	NA	NA
MSMEG_6165	1.48	Slow	0.1373	NA	NA	NA	NA	NA
MSMEG_6166	0.69	Fast	0.0591	68.74	Slow	0.1666	99.62	Large
MSMEG_6169	1.62	Slow	0.3147	11.31	Fast	0.2924	6.98	Small
MSMEG_6171	1.12	Med-slow	0.0886	NA	NA	NA	NA	NA
MSMEG_6172	NA	NA	NA	113.14	Slow	0.1632	NA	NA
MSMEG_6173	0.95	Med-fast	0.0394	13.24	Fast	0.0899	13.94	Small
MSMEG_6174	0.61	Fast	0.1224	412.54	Slow	0.239	676.3	Large
MSMEG_6175	NA	NA	NA	17.27	Med-fast	0.0811	NA	NA
MSMEG_6176	0.94	Med-fast	0.4236	19.26	Med-fast	0.204	20.49	Med-small
MSMEG_6177	0.81	Med-fast	0.274	79.46	Slow	0.1674	98.1	Large
MSMEG_6178	NA	NA	NA	60	Slow	0.1467	NA	NA
MSMEG_6179	1.04	Med-slow	0.1504	6218.49	Slow	0.2192	5979.32	Large
MSMEG_6180	0.73	Med-fast	0.0136	17.33	Med-fast	0.0631	23.74	Med-small
MSMEG_6182	0.42	Fast	0.0961	14.08	Fast	0.2351	33.52	Med-large
MSMEG_6183	0.97	Med-slow	0.04	40.14	Slow	0.0633	41.38	Large
MSMEG_6184	0.8	Med-fast	0.0263	34.43	Med-slow	0.0794	43.04	Large
MSMEG_6185	1.1	Med-slow	0.0805	46.94	Slow	0.0748	42.67	Large
MSMEG_6186	0.68	Fast	0.0803	33.4	Med-slow	0.0973	49.12	Large
MSMEG_6187	0.47	Fast	0.16	14.14	Fast	0.1387	30.09	Med-large
MSMEG_6188	0.36	Fast	0.3342	7.86	Fast	0.1311	21.83	Med-small
MSMEG_6189	1.01	Med-slow	0.0353	15.52	Fast	0.0558	15.37	Small
MSMEG_6190	2.29	Slow	0.2399	42.11	Slow	0.1173	18.39	Small
MSMEG_6191	2.5	Slow	0.1661	53.46	Slow	0.2235	21.38	Med-small
MSMEG_6192	2	Slow	0.0533	40.7	Slow	0.3301	20.35	Med-small
MSMEG_6193	0.53	Fast	0.0222	22.39	Med-fast	0.0824	42.25	Large
MSMEG_6194	1.16	Med-slow	0.4606	28.68	Med-slow	0.1431	24.72	Med-small
MSMEG_6195	0.7	Fast	0.0835	32.81	Med-slow	0.0714	46.87	Large
MSMEG_6196	0.58	Fast	0.4104	8.42	Fast	0.2278	14.52	Small
MSMEG_6197	0.89	Med-fast	0.1435	21.61	Med-fast	0.1098	24.28	Med-small
MSMEG_6198	0.71	Fast	0.0403	18.73	Med-fast	0.1998	26.38	Med-small
MSMEG_6199	0.74	Med-fast	0.3767	NA	NA	NA	NA	NA
MSMEG_6201	1.34	Med-slow	0.0374	34.81	Med-slow	0.0868	25.98	Med-small
MSMEG_6202	1.33	Med-slow	0.0224	17.58	Med-fast	0.1074	13.22	Small
MSMEG_6203	0.83	Med-fast	0.1297	25.69	Med-slow	0.0847	30.95	Med-large
MSMEG_6206	0.73	Med-fast	0.0632	35.64	Med-slow	0.2016	48.82	Large
MSMEG_6207	NA	NA	NA	16.94	Fast	0.3762	NA	NA
MSMEG_6208	1.01	Med-slow	0.0124	39.4	Slow	0.0834	39.01	Med-large
MSMEG_6209	NA	NA	NA	13.64	Fast	0.1116	NA	NA
MSMEG_6210	0.74	Med-fast	0.2348	13.42	Fast	0.0864	18.14	Small
MSMEG_6212	NA	NA	NA	17.15	Fast	0.1469	NA	NA
MSMEG_6213	NA	NA	NA	13.98	Fast	0.1359	NA	NA
MSMEG_6214	NA	NA	NA	14.09	Fast	0.1576	NA	NA
MSMEG_6215	0.58	Fast	0.2307	20.18	Med-fast	0.2735	34.79	Med-large
MSMEG_6216	0.98	Med-slow	0.0511	17.19	Fast	0.1183	17.54	Small
MSMEG_6217	0.8	Med-fast	0.1825	40.12	Slow	0.0654	50.15	Large
MSMEG_6218	0.65	Fast	0.0797	51.2	Slow	0.0504	78.77	Large
MSMEG_6219	NA	NA	NA	26.7	Med-slow	0.1373	NA	NA
MSMEG_6220	1.99	Slow	0.2405	40.93	Slow	0.1228	20.57	Med-small
MSMEG_6221	0.91	Med-fast	0.0412	20.49	Med-fast	0.1305	22.52	Med-small
MSMEG_6222	0.92	Med-fast	0.0882	26.19	Med-slow	0.2817	28.47	Med-large
MSMEG_6223	0.42	Fast	0.0403	10.1	Fast	0.1557	24.05	Med-small
MSMEG_6224	0.9	Med-fast	0.476	96.62	Slow	0.2815	107.36	Large
MSMEG_6225	1.02	Med-slow	0.1056	34.67	Med-slow	0.0943	33.99	Med-large
MSMEG_6227	3.42	Slow	0.1723	68.25	Slow	0.3335	19.96	Med-small
MSMEG_6228	1.03	Med-slow	0.0879	18.98	Med-fast	0.122	18.43	Small
MSMEG_6229	1.16	Med-slow	0.036	24.2	Med-fast	0.1223	20.86	Med-small
MSMEG_6230	2.42	Slow	0.1604	84.69	Slow	0.1426	35	Med-large
MSMEG_6231	0.71	Fast	0.4966	20.85	Med-fast	0.3809	29.37	Med-large
MSMEG_6232	NA	NA	NA	27.72	Med-slow	0.2018	NA	NA
MSMEG_6233	NA	NA	NA	84.13	Slow	0.4488	NA	NA
MSMEG_6234	0.62	Fast	0.0693	31.25	Med-slow	0.1281	50.4	Large
MSMEG_6235	1.88	Slow	0.0756	23.33	Med-fast	0.1163	12.41	Small
MSMEG_6236	0.72	Fast	0.2393	NA	NA	NA	NA	NA
MSMEG_6237	0.78	Med-fast	0.0573	110.57	Slow	0.3389	141.76	Large
MSMEG_6238	0.69	Fast	0.3011	NA	NA	NA	NA	NA
MSMEG_6239	1.26	Med-slow	0.1705	NA	NA	NA	NA	NA
MSMEG_6240	1	Med-slow	0.3851	NA	NA	NA	NA	NA
MSMEG_6241	1.31	Med-slow	0.3749	NA	NA	NA	NA	NA
MSMEG_6242	1.29	Med-slow	0.3902	NA	NA	NA	NA	NA
MSMEG_6243	3.11	Slow	0.0779	NA	NA	NA	NA	NA
MSMEG_6245	1.5	Slow	0.1628	10.55	Fast	0.2124	7.03	Small
MSMEG_6246	1.48	Slow	0.4379	30.66	Med-slow	0.1341	20.72	Med-small
MSMEG_6247	NA	NA	NA	25.99	Med-slow	0.1307	NA	NA
MSMEG_6248	NA	NA	NA	62.64	Slow	0.0808	NA	NA
MSMEG_6249	0.86	Med-fast	0.1125	32.77	Med-slow	0.0605	38.1	Med-large
MSMEG_6250	0.95	Med-fast	0.0458	18.66	Med-fast	0.0294	19.64	Med-small
MSMEG_6251	0.6	Fast	0.1367	21.86	Med-fast	0.149	36.43	Med-large
MSMEG_6252	NA	NA	NA	8.41	Fast	0.4329	NA	NA
MSMEG_6253	0.59	Fast	0.0239	13.47	Fast	0.1441	22.83	Med-small
MSMEG_6254	1.15	Med-slow	0.1381	78.9	Slow	0.129	68.61	Large
MSMEG_6255	0.53	Fast	0.1613	NA	NA	NA	NA	NA
MSMEG_6256	0.8	Med-fast	0.1503	137.73	Slow	0.1015	172.16	Large
MSMEG_6257	0.54	Fast	0.0321	21.8	Med-fast	0.1409	40.37	Med-large
MSMEG_6258	0.64	Fast	0.166	17.24	Fast	0.3738	26.94	Med-large
MSMEG_6259	1.05	Med-slow	0.1245	18.88	Med-fast	0.2166	17.98	Small
MSMEG_6260	1.06	Med-slow	0.3316	22.43	Med-fast	0.4488	21.16	Med-small
MSMEG_6261	1.59	Slow	0.1295	NA	NA	NA	NA	NA
MSMEG_6263	1.54	Slow	0.1298	NA	NA	NA	NA	NA
MSMEG_6265	0.66	Fast	0.1666	11.67	Fast	0.2631	17.68	Small
MSMEG_6266	NA	NA	NA	32.01	Med-slow	0.3215	NA	NA
MSMEG_6269	1.51	Slow	0.0198	80.29	Slow	0.1092	53.17	Large
MSMEG_6270	0.52	Fast	0.3194	NA	NA	NA	NA	NA
MSMEG_6271	0.58	Fast	0.034	16.07	Fast	0.1133	27.71	Med-large
MSMEG_6272	NA	NA	NA	34.14	Med-slow	0.0929	NA	NA
MSMEG_6273	2.72	Slow	0.2273	30.96	Med-slow	0.133	11.38	Small
MSMEG_6274	2.46	Slow	0.1908	27.99	Med-slow	0.1342	11.38	Small
MSMEG_6275	0.59	Fast	0.1431	15.76	Fast	0.254	26.71	Med-large
MSMEG_6276	0.83	Med-fast	0.0377	NA	NA	NA	NA	NA
MSMEG_6277	1.12	Med-slow	0.1162	NA	NA	NA	NA	NA
MSMEG_6278	0.76	Med-fast	0.0601	10.4	Fast	0.0941	13.68	Small
MSMEG_6279	1.05	Med-slow	0.0214	17.56	Med-fast	0.1272	16.72	Small
MSMEG_6280	0.91	Med-fast	0.0289	13.64	Fast	0.2342	14.99	Small
MSMEG_6281	0.83	Med-fast	0.0667	12.9	Fast	0.0803	15.54	Small
MSMEG_6282	1.5	Slow	0.0067	17.19	Fast	0.0988	11.46	Small
MSMEG_6283	0.6	Fast	0.0194	18.5	Med-fast	0.0782	30.83	Med-large
MSMEG_6284	0.71	Fast	0.0665	28.29	Med-slow	0.0802	39.85	Med-large
MSMEG_6285	0.85	Med-fast	0.0994	48.07	Slow	0.0834	56.55	Large
MSMEG_6286	0.52	Fast	0.0292	9.78	Fast	0.2038	18.81	Med-small
MSMEG_6288	0.42	Fast	0.0112	15.6	Fast	0.1804	37.14	Med-large
MSMEG_6289	0.91	Med-fast	0.0955	48.66	Slow	0.1547	53.47	Large
MSMEG_6290	1.1	Med-slow	0.0958	26.56	Med-slow	0.1483	24.15	Med-small
MSMEG_6291	0.88	Med-fast	0.1143	15.82	Fast	0.0982	17.98	Small
MSMEG_6292	NA	NA	NA	24.33	Med-slow	0.0712	NA	NA
MSMEG_6293	0.72	Fast	0.1151	25.12	Med-slow	0.1405	34.89	Med-large
MSMEG_6294	1.15	Med-slow	0.2433	NA	NA	NA	NA	NA
MSMEG_6297	1.45	Slow	0.0812	NA	NA	NA	NA	NA
MSMEG_6298	1.82	Slow	0.221	NA	NA	NA	NA	NA
MSMEG_6299	1.52	Slow	0.191	NA	NA	NA	NA	NA
MSMEG_6300	0.72	Fast	0.1006	15.62	Fast	0.3054	21.69	Med-small
MSMEG_6301	0.74	Med-fast	0.3067	32.69	Med-slow	0.0272	44.18	Large
MSMEG_6302	0.59	Fast	0.1357	11.03	Fast	0.2629	18.69	Med-small
MSMEG_6303	2.23	Slow	0.046	25.03	Med-slow	0.1899	11.22	Small
MSMEG_6306	0.54	Fast	0.4754	25.73	Med-slow	0.3582	47.65	Large
MSMEG_6307	1.09	Med-slow	0.0459	100.21	Slow	0.291	91.94	Large
MSMEG_6310	0.65	Fast	0.0399	14.36	Fast	0.1236	22.09	Med-small
MSMEG_6311	0.73	Med-fast	0.2098	NA	NA	NA	NA	NA
MSMEG_6312	0.72	Fast	0.0427	15.02	Fast	0.2311	20.86	Med-small
MSMEG_6313	0.47	Fast	0.0516	16.17	Fast	0.1018	34.4	Med-large
MSMEG_6314	NA	NA	NA	14.66	Fast	0.345	NA	NA
MSMEG_6315	0.62	Fast	0.0852	76.9	Slow	0.1634	124.03	Large
MSMEG_6317	1.14	Med-slow	0.0847	16.8	Fast	0.2316	14.74	Small
MSMEG_6318	1.83	Slow	0.4712	27.06	Med-slow	0.3078	14.79	Small
MSMEG_6319	1.03	Med-slow	0.083	36.22	Med-slow	0.0935	35.17	Med-large
MSMEG_6320	0.77	Med-fast	0.2902	17.31	Med-fast	0.449	22.48	Med-small
MSMEG_6321	0.73	Med-fast	0.0405	47.35	Slow	0.2408	64.86	Large
MSMEG_6322	1.25	Med-slow	0.3915	29.16	Med-slow	0.2328	23.33	Med-small
MSMEG_6325	1.43	Slow	0.1641	22.82	Med-fast	0.2596	15.96	Small
MSMEG_6327	0.63	Fast	0.2737	16.69	Fast	0.2455	26.49	Med-small
MSMEG_6328	0.55	Fast	0.0831	18.98	Med-fast	0.2207	34.51	Med-large
MSMEG_6329	0.8	Med-fast	0.0407	21.23	Med-fast	0.1646	26.54	Med-large
MSMEG_6330	0.81	Med-fast	0.0142	32.21	Med-slow	0.1839	39.77	Med-large
MSMEG_6331	1.1	Med-slow	0.2185	22.44	Med-fast	0.3163	20.4	Med-small
MSMEG_6336	1.08	Med-slow	0.1812	14.08	Fast	0.1875	13.04	Small
MSMEG_6337	0.64	Fast	0.0173	21.08	Med-fast	0.1521	32.94	Med-large
MSMEG_6338	0.88	Med-fast	0.174	11.06	Fast	0.3855	12.57	Small
MSMEG_6339	2.28	Slow	0.0475	NA	NA	NA	NA	NA
MSMEG_6340	0.7	Fast	0.0717	38.09	Med-slow	0.2387	54.41	Large
MSMEG_6341	1.12	Med-slow	0.1965	50.91	Slow	0.1687	45.46	Large
MSMEG_6342	1.81	Slow	0.2382	13.28	Fast	0.225	7.34	Small
MSMEG_6343	0.66	Fast	0.0272	10.74	Fast	0.1511	16.27	Small
MSMEG_6344	0.87	Med-fast	0.2458	10.34	Fast	0.1374	11.89	Small
MSMEG_6345	1.44	Slow	0.3398	7.79	Fast	0.4097	5.41	Small
MSMEG_6346	1.05	Med-slow	0.1815	22.26	Med-fast	0.1328	21.2	Med-small
MSMEG_6347	1.76	Slow	0.1079	14.76	Fast	0.4025	8.39	Small
MSMEG_6348	1.38	Slow	0.3571	NA	NA	NA	NA	NA
MSMEG_6351	0.53	Fast	0.0942	16.12	Fast	0.0888	30.42	Med-large
MSMEG_6352	0.62	Fast	0.1611	18.67	Med-fast	0.0627	30.11	Med-large
MSMEG_6353	0.69	Fast	0.0789	44.85	Slow	0.042	65	Large
MSMEG_6354	0.8	Med-fast	0.097	29.29	Med-slow	0.3162	36.61	Med-large
MSMEG_6355	NA	NA	NA	127.51	Slow	0.1616	NA	NA
MSMEG_6356	0.38	Fast	0.2607	9.57	Fast	0.2571	25.18	Med-small
MSMEG_6358	0.84	Med-fast	0.0711	NA	NA	NA	NA	NA
MSMEG_6359	0.75	Med-fast	0.2052	NA	NA	NA	NA	NA
MSMEG_6361	0.67	Fast	0.0258	19.82	Med-fast	0.2079	29.58	Med-large
MSMEG_6362	1.88	Slow	0.0808	30.77	Med-slow	0.4491	16.37	Small
MSMEG_6363	0.64	Fast	0.0698	22.78	Med-fast	0.154	35.59	Med-large
MSMEG_6365	1.6	Slow	0.283	66.5	Slow	0.1627	41.56	Large
MSMEG_6366	2.19	Slow	0.0257	49.88	Slow	0.1628	22.78	Med-small
MSMEG_6367	0.81	Med-fast	0.0718	67.04	Slow	0.1498	82.77	Large
MSMEG_6369	NA	NA	NA	72.25	Slow	0.1658	NA	NA
MSMEG_6370	1.31	Med-slow	0.177	359.96	Slow	0.2454	274.78	Large
MSMEG_6371	0.77	Med-fast	0.1545	31.47	Med-slow	0.2522	40.87	Large
MSMEG_6372	0.68	Fast	0.0361	15.15	Fast	0.1441	22.28	Med-small
MSMEG_6373	2.88	Slow	0.3108	NA	NA	NA	NA	NA
MSMEG_6375	NA	NA	NA	19.06	Med-fast	0.4637	NA	NA
MSMEG_6376	0.76	Med-fast	0.3981	11.22	Fast	0.4614	14.76	Small
MSMEG_6380	NA	NA	NA	15.56	Fast	0.1591	NA	NA
MSMEG_6381	0.39	Fast	0.1318	12.17	Fast	0.1808	31.21	Med-large
MSMEG_6382	0.42	Fast	0.0499	21.3	Med-fast	0.1107	50.71	Large
MSMEG_6383	1.09	Med-slow	0.1019	20.31	Med-fast	0.1543	18.63	Med-small
MSMEG_6384	3.71	Slow	0.1599	NA	NA	NA	NA	NA
MSMEG_6385	0.72	Fast	0.0214	22.9	Med-fast	0.1763	31.81	Med-large
MSMEG_6386	0.79	Med-fast	0.0846	59.38	Slow	0.0544	75.16	Large
MSMEG_6387	1.59	Slow	0.4716	62.25	Slow	0.0931	39.15	Med-large
MSMEG_6388	1.08	Med-slow	0.0684	82.56	Slow	0.1506	76.44	Large
MSMEG_6389	2.53	Slow	0.3005	553.52	Slow	0.1219	218.78	Large
MSMEG_6390	1.47	Slow	0.2323	112.99	Slow	0.3222	76.86	Large
MSMEG_6391	1.42	Slow	0.4008	68.06	Slow	0.0635	47.93	Large
MSMEG_6392	1.59	Slow	0.3087	86.57	Slow	0.0599	54.45	Large
MSMEG_6393	0.67	Fast	0.1217	13.63	Fast	0.081	20.34	Med-small
MSMEG_6394	1.09	Med-slow	0.0161	21.52	Med-fast	0.0593	19.74	Med-small
MSMEG_6395	0.81	Med-fast	0.0324	19.02	Med-fast	0.1274	23.48	Med-small
MSMEG_6396	1.27	Med-slow	0.0272	109.47	Slow	0.3631	86.2	Large
MSMEG_6397	1.33	Med-slow	0.0414	635.44	Slow	0.1149	477.77	Large
MSMEG_6398	1.45	Slow	0.047	153.35	Slow	0.1553	105.76	Large
MSMEG_6399	1.23	Med-slow	0.3036	11.55	Fast	0.0945	9.39	Small
MSMEG_6400	1.51	Slow	0.3982	122.3	Slow	0.1789	80.99	Large
MSMEG_6401	NA	NA	NA	44	Slow	0.1035	NA	NA
MSMEG_6402	2.32	Slow	0.393	49.04	Slow	0.0733	21.14	Med-small
MSMEG_6403	0.68	Fast	0.0605	45.3	Slow	0.073	66.62	Large
MSMEG_6404	0.4	Fast	0.1319	12.83	Fast	0.1085	32.07	Med-large
MSMEG_6405	2.19	Slow	0.0159	23.08	Med-fast	0.0577	10.54	Small
MSMEG_6406	0.66	Fast	0.1279	17.76	Med-fast	0.0954	26.91	Med-large
MSMEG_6407	0.73	Med-fast	0.0733	43.09	Slow	0.0608	59.03	Large
MSMEG_6408	0.62	Fast	0.1038	19.84	Med-fast	0.066	32	Med-large
MSMEG_6409	0.57	Fast	0.0703	15.88	Fast	0.1923	27.86	Med-large
MSMEG_6410	0.86	Med-fast	0.0138	16.11	Fast	0.0864	18.73	Med-small
MSMEG_6411	0.55	Fast	0.0462	50.45	Slow	0.0843	91.73	Large
MSMEG_6412	0.64	Fast	0.1322	91.93	Slow	0.1303	143.64	Large
MSMEG_6413	0.65	Fast	0.0305	16.85	Fast	0.117	25.92	Med-small
MSMEG_6414	0.64	Fast	0.0191	15.48	Fast	0.0642	24.19	Med-small
MSMEG_6415	0.73	Med-fast	0.2443	23.08	Med-fast	0.0828	31.62	Med-large
MSMEG_6416	0.74	Med-fast	0.0355	25.31	Med-slow	0.0738	34.2	Med-large
MSMEG_6417	NA	NA	NA	9.72	Fast	0.1663	NA	NA
MSMEG_6418	0.73	Med-fast	0.0419	19.43	Med-fast	0.0981	26.62	Med-large
MSMEG_6420	1.13	Med-slow	0.0415	76.68	Slow	0.3187	67.86	Large
MSMEG_6421	0.81	Med-fast	0.031	65.19	Slow	0.3107	80.48	Large
MSMEG_6422	1.81	Slow	0.3795	14.75	Fast	0.1103	8.15	Small
MSMEG_6423	0.73	Med-fast	0.3445	30.8	Med-slow	0.1294	42.19	Large
MSMEG_6424	0.77	Med-fast	0.0441	27.4	Med-slow	0.129	35.58	Med-large
MSMEG_6425	0.55	Fast	0.0844	19.59	Med-fast	0.1797	35.62	Med-large
MSMEG_6426	0.54	Fast	0.2292	10.84	Fast	0.3569	20.07	Med-small
MSMEG_6427	5.12	Slow	0.1757	35.06	Med-slow	0.365	6.85	Small
MSMEG_6428	0.99	Med-slow	0.0485	30.13	Med-slow	0.2532	30.43	Med-large
MSMEG_6430	0.79	Med-fast	0.106	30.56	Med-slow	0.0753	38.68	Med-large
MSMEG_6431	1.53	Slow	0.0251	17.53	Med-fast	0.103	11.46	Small
MSMEG_6432	0.84	Med-fast	0.0858	19.56	Med-fast	0.0754	23.29	Med-small
MSMEG_6433	0.97	Med-slow	0.0446	15.04	Fast	0.1115	15.51	Small
MSMEG_6434	0.63	Fast	0.0969	18.07	Med-fast	0.0655	28.68	Med-large
MSMEG_6435	0.75	Med-fast	0.0512	27.52	Med-slow	0.1459	36.69	Med-large
MSMEG_6436	1.37	Med-slow	0.1639	NA	NA	NA	NA	NA
MSMEG_6437	3.69	Slow	0.2083	100.73	Slow	0.2506	27.3	Med-large
MSMEG_6438	0.67	Fast	0.0595	20.24	Med-fast	0.1544	30.21	Med-large
MSMEG_6439	1.23	Med-slow	0.0405	13.45	Fast	0.1169	10.93	Small
MSMEG_6440	0.82	Med-fast	0.0583	35.97	Med-slow	0.1751	43.87	Large
MSMEG_6441	NA	NA	NA	18.84	Med-fast	0.1347	NA	NA
MSMEG_6443	0.6	Fast	0.3369	14.7	Fast	0.1285	24.5	Med-small
MSMEG_6445	NA	NA	NA	29.26	Med-slow	0.2485	NA	NA
MSMEG_6446	0.57	Fast	0.2135	31.87	Med-slow	0.3717	55.91	Large
