,mse best interval
MSMEG_3884,0.324460639999999
MSMEG_2751,0.252547947111111
MSMEG_6405,0.0159437711728395
MSMEG_4228,0.0201217553703703
MSMEG_3542,0.136012137592592
MSMEG_3518,0.171708445291005
MSMEG_3580,0.278468109312169
MSMEG_1475,0.103591102469135
MSMEG_0649,0.370500375061728
MSMEG_6804,0.404250595767195
MSMEG_0023,0.041834329691358
MSMEG_6936,0.315000931957672
MSMEG_5658,0.226031031053139
MSMEG_5671,0.148086043950617
MSMEG_6022,0.186471193994709
MSMEG_3620,0.0809767963174603
MSMEG_5690,0.0981256520987656
MSMEG_0673,0.0355154837301587
MSMEG_0469,0.153366298765432
MSMEG_3098,0.304551057460317
MSMEG_1283,0.11472463537037
MSMEG_5842,0.180027577037037
MSMEG_1150,0.3379122944
MSMEG_3252,0.346882991031746
MSMEG_2081,0.0157270230246914
MSMEG_0702,0.0252064600617282
MSMEG_6439,0.0404545133950616
MSMEG_3714,0.0727712856666666
MSMEG_2450,0.14712077821256
MSMEG_3904,0.024677666728395
MSMEG_5886,0.00885820592592587
MSMEG_2646,0.074489565
MSMEG_5736,0.397852924682539
MSMEG_1676,0.04743592691358
MSMEG_3020,0.00694216228395061
MSMEG_2805,0.154280596507936
MSMEG_2188,0.260147721294685
MSMEG_4292,0.0492529414814813
MSMEG_0237,0.207072449735449
MSMEG_0406,0.0253904889506173
MSMEG_4756,0.0799055802116402
MSMEG_1480,0.0282320533333334
VBIMycSme59918_0719,0.0970415972839505
MSMEG_5087,0.0249321383333332
MSMEG_4748,0.0905687676543209
MSMEG_0005,0.0518214006613756
MSMEG_1114,0.160554723386243
MSMEG_3204,0.0988134695238093
MSMEG_0284,0.276550741507936
MSMEG_3569,0.0279993592592592
MSMEG_2940,0.0202593083950616
MSMEG_3663,0.0297241842592592
MSMEG_3034,0.0314007859259258
MSMEG_4122,0.0778541459259258
MSMEG_0958,0.366212268571429
MSMEG_6303,0.0460412178395063
MSMEG_2219,0.112832211111111
MSMEG_0603,0.461958591851851
MSMEG_5276,0.0222865845061728
VBIMycSme59918_2985,0.0503046706172839
MSMEG_6274,0.190769113661835
ORF46,0.212709270432098
MSMEG_5253,0.160991286904762
MSMEG_2921,0.242564218756613
MSMEG_6273,0.227282293253968
MSMEG_0698,0.0314242159788358
MSMEG_1426,0.27430543079365
MSMEG_6282,0.00671165166666659
MSMEG_6431,0.0250897958024691
MSMEG_3764,0.0906684919135804
MSMEG_1213,0.198843575190476
MSMEG_1403,0.024340183765432
MSMEG_5773,0.153414229876543
MSMEG_5119,0.0549107353703703
MSMEG_4588,0.250840184682539
MSMEG_1514,0.0281707052469135
MSMEG_0777,0.135626713253967
MSMEG_2826,0.0165782689506172
MSMEG_3341,0.0478825733950617
MSMEG_2407,0.0284169311728394
MSMEG_5610,0.0285318799999999
MSMEG_6779,0.0426504274691357
MSMEG_5929,0.179242961481481
MSMEG_0761,0.065971555617284
MSMEG_2465,0.101036858941799
MSMEG_2827,0.0130037881481481
MSMEG_5486,0.383673399074074
VBIMycSme59918_3049,0.0363830703703703
MSMEG_6689,0.493342627222221
MSMEG_0224,0.0183304120987654
MSMEG_1659,0.0465923451058199
MSMEG_4913,0.079307328148148
MSMEG_0027,0.188618588703703
MSMEG_0987,0.0509226496913579
MSMEG_3053,0.0229525476543209
MSMEG_6344,0.245840629523809
MSMEG_5150,0.0851765814814815
MSMEG_2467,0.0547486155555554
MSMEG_5760,0.403185310523809
MSMEG_1773,0.357915061217391
MSMEG_2079,0.118138893994709
MSMEG_1422,0.139353003164251
MSMEG_4303,0.106035970793651
MSMEG_2490,0.0858282642592592
MSMEG_4270,0.0182373269135802
MSMEG_4982,0.103760466172839
MSMEG_6456,0.0870916972839506
MSMEG_1496,0.167389385396825
MSMEG_1883,0.0095482528395062
MSMEG_1238,0.0242318156172839
MSMEG_1310,0.0424242319135802
MSMEG_4246,0.0334042535802468
