,No zero values in 0-15 minute timepoints,half-life for 0-15 minutes,hyp_1_5_slope,hyp_1_5_r2,hyp_1_5_mse
MSMEG_5471,pass,14.85,-0.0673273273273273,0.417386251940736,0.168561954594594
MSMEG_3612,pass,14.86,-0.0672888888888889,0.396417206622915,0.183656070666666
MSMEG_2519,pass,14.87,-0.0672633633633633,0.53959614873247,0.102839862198198
MSMEG_0437,pass,14.88,-0.0671846846846847,0.589963400390967,0.0835742215735736
MSMEG_1609,pass,14.89,-0.0671641141141141,0.349312148882138,0.223855520981981
VBIMycSme59918_1595,pass,14.89,-0.0671641141141141,0.349312148882138,0.223855520981981
VBIMycSme59918_2130,pass,14.89,-0.0671414414414415,0.295165534115269,0.286772188204204
MSMEG_2342,pass,14.90,-0.0671364864864864,0.204925306236146,0.46586896169069
MSMEG_0172,pass,14.90,-0.0670966966966967,0.564043288105304,0.0926973741981981
MSMEG_5154,pass,14.92,-0.0670337837837838,0.408312437302129,0.173468858483483
MSMEG_6022,pass,14.92,-0.0670082582582582,0.206048055458507,0.460910472405405
MSMEG_5750,pass,14.93,-0.0669647147147147,0.371099038127341,0.202450426831831
MSMEG_5108,pass,14.94,-0.066940990990991,0.201370504125499,0.473443309726726
MSMEG_0093,pass,14.94,-0.0669264264264264,0.620272025231398,0.0730499446846845
MSMEG_2301,pass,14.94,-0.0669255255255255,0.279392141844851,0.307753221309309
ORF52,pass,14.94,-0.0669253753753753,0.252187593908958,0.353821972801801
VBIMycSme59918_2101,pass,14.94,-0.0669253753753753,0.252187593908958,0.353821972801801
MSMEG_2525,pass,14.95,-0.0668972972972973,0.240182376584357,0.37715475696096
MSMEG_5685,pass,14.95,-0.0668749249249249,0.469382427267223,0.134683885738738
MSMEG_3973,pass,14.96,-0.0668545045045045,0.316640945933442,0.256967055348348
MSMEG_3442,pass,14.96,-0.0668454954954955,0.403166793398993,0.176216567792792
MSMEG_3108,pass,14.96,-0.0668442942942943,0.276428429646654,0.311574347288288
MSMEG_1809,pass,14.96,-0.0668385885885886,0.487200856293871,0.125264500153153
MSMEG_3975,pass,14.98,-0.0667582582582583,0.512227783196388,0.113057178738738
VBIMycSme59918_2062,pass,14.98,-0.0667566066066066,0.56869872643087,0.0900370402372372
MSMEG_4049,pass,15.00,-0.0666722222222222,0.265642095090349,0.327367045666666
MSMEG_5964,pass,15.00,-0.0666528528528528,0.304455451595363,0.270378965405405
MSMEG_3035,pass,15.01,-0.066631981981982,0.647910604947046,0.0642743272402401
MSMEG_0924,pass,15.02,-0.0665938438438438,0.497150800988606,0.11949562539039
ORF49,pass,15.02,-0.0665855855855856,0.342049142405711,0.22719544442042
MSMEG_2943,pass,15.02,-0.0665804804804804,0.441425880431422,0.149434573405405
MSMEG_6312,pass,15.02,-0.0665599099099099,0.33802168357705,0.231131360117116
MSMEG_2453,pass,15.03,-0.0665199699699699,0.531662882412464,0.103839011864864
MSMEG_3871,pass,15.03,-0.0665175675675675,0.63691672214667,0.0671940062672672
MSMEG_3593,pass,15.04,-0.066506006006006,0.487754083187986,0.123746677261261
MSMEG_6433,pass,15.04,-0.0664873873873874,0.513731151675448,0.111468794162162
MSMEG_1251,pass,15.04,-0.0664776276276276,0.338174126120727,0.230403255288288
MSMEG_6860,pass,15.05,-0.0664303303303303,0.331190698044401,0.237405741981981
MSMEG_4028,pass,15.05,-0.0664261261261261,0.437367728714125,0.151213294438438
MSMEG_5761,pass,15.06,-0.0664067567567568,0.262098833082132,0.330743921006005
MSMEG_5635,pass,15.06,-0.0664036036036036,0.414384223479004,0.16600725672072
MSMEG_3537,pass,15.07,-0.0663524024024024,0.54627938093207,0.0974139674684684
MSMEG_3462,pass,15.08,-0.0663175675675676,0.248553110099208,0.354217886267267
MSMEG_4360,pass,15.08,-0.0663141141141141,0.679510734907723,0.0552539499819819
MSMEG_2814,pass,15.09,-0.0662776276276276,0.349019495543576,0.218266169066065
MSMEG_5791,pass,15.09,-0.0662723723723723,0.571728608594212,0.0876452522882881
MSMEG_2179,pass,15.09,-0.0662711711711711,0.468610761033479,0.132673446126126
