locus_tag,name,tnseq_ess,crispr_ess
MSMEG0301,MSMEG0301,NonEssential,NonEssential
MSMEG0302,MSMEG0302,NonEssential,NonEssential
MSMEG0303,MSMEG0303,NonEssential,NonEssential
MSMEG0304,MSMEG0304,NonEssential,NonEssential
MSMEG0305,MSMEG0305,NonEssential,NonEssential
MSMEG0306,MSMEG0306,NonEssential,NonEssential
MSMEG0307,MSMEG0307,NonEssential,NonEssential
MSMEG0308,MSMEG0308,NonEssential,NonEssential
MSMEG0309,MSMEG0309,NonEssential,NonEssential
MSMEG0310,MSMEG0310,Uncertain,NonEssential
MSMEG0311,MSMEG0311,Essential,Essential
MSMEG0312,eda,NonEssential,NonEssential
MSMEG0313,edd,NonEssential,NonEssential
MSMEG0314,zwf,NonEssential,NonEssential
MSMEG0315,MSMEG0315,Essential,Essential
MSMEG0316,MSMEG0316,NonEssential,NonEssential
MSMEG0317,MSMEG0317,Essential,Essential
MSMEG0318,MSMEG0318,NonEssential,NonEssential
MSMEG0319,MSMEG0319,Essential,NonEssential
MSMEG0320,MSMEG0320,NonEssential,NonEssential
MSMEG0321,MSMEG0321,NonEssential,NonEssential
MSMEG0322,MSMEG0322,Uncertain,NonEssential
MSMEG0323,MSMEG0323,NonEssential,NonEssential
MSMEG0324,MSMEG0324,NonEssential,NonEssential
MSMEG0325,MSMEG0325,NonEssential,NonEssential
MSMEG0326,MSMEG0326,NonEssential,NonEssential
MSMEG0327,MSMEG0327,NonEssential,NonEssential
MSMEG0328,MSMEG0328,NonEssential,NonEssential
MSMEG0329,MSMEG0329,NonEssential,NonEssential
MSMEG0330,MSMEG0330,NonEssential,NonEssential
MSMEG0331,MSMEG0331,NonEssential,NonEssential
MSMEG0332,MSMEG0332,NonEssential,NonEssential
MSMEG0333,MSMEG0333,NonEssential,NonEssential
MSMEG0334,MSMEG0334,NonEssential,NonEssential
MSMEG0335,MSMEG0335,NonEssential,NonEssential
MSMEG0336,MSMEG0336,NonEssential,NonEssential
MSMEG0337,MSMEG0337,NonEssential,NonEssential
MSMEG0338,MSMEG0338,NonEssential,NonEssential
MSMEG0339,MSMEG0339,NonEssential,NonEssential
MSMEG0340,MSMEG0340,NonEssential,NonEssential
MSMEG0341,MSMEG0341,NonEssential,NonEssential
MSMEG0342,MSMEG0342,NonEssential,NonEssential
MSMEG0343,MSMEG0343,NonEssential,NonEssential
MSMEG0344,MSMEG0344,NonEssential,NonEssential
MSMEG0345,MSMEG0345,NonEssential,NonEssential
MSMEG0346,MSMEG0346,NonEssential,NonEssential
MSMEG0347,MSMEG0347,NonEssential,NonEssential
MSMEG0348,MSMEG0348,NonEssential,NonEssential
MSMEG0349,MSMEG0349,NonEssential,NonEssential
MSMEG0350,MSMEG0350,NonEssential,NonEssential
MSMEG0351,MSMEG0351,NonEssential,NonEssential
MSMEG0352,MSMEG0352,NonEssential,NonEssential
MSMEG0353,MSMEG0353,NonEssential,NonEssential
MSMEG0354,MSMEG0354,NonEssential,NonEssential
MSMEG0355,MSMEG0355,NonEssential,NonEssential
MSMEG0356,MSMEG0356,NonEssential,NonEssential
MSMEG0357,MSMEG0357,NonEssential,NonEssential
MSMEG0358,MSMEG0358,NonEssential,NonEssential
MSMEG0359,MSMEG0359,Essential,Essential
MSMEG0360,MSMEG0360,NonEssential,NonEssential
MSMEG0361,MSMEG0361,NonEssential,NonEssential
MSMEG0362,MSMEG0362,NonEssential,NonEssential
MSMEG0363,MSMEG0363,NonEssential,NonEssential
MSMEG0364,MSMEG0364,NonEssential,NonEssential
MSMEG0365,MSMEG0365,NonEssential,NonEssential
MSMEG0366,MSMEG0366,NonEssential,NonEssential
MSMEG0367,MSMEG0367,NonEssential,NonEssential
MSMEG0368,MSMEG0368,NonEssential,NonEssential
MSMEG0369,MSMEG0369,NonEssential,NonEssential
MSMEG0370,MSMEG0370,NonEssential,NonEssential
MSMEG0371,MSMEG0371,NonEssential,NonEssential
MSMEG0372,fabG,NonEssential,NonEssential
MSMEG0373,MSMEG0373,NonEssential,NonEssential
MSMEG0374,MSMEG0374,NonEssential,NonEssential
MSMEG0375,MSMEG0375,NonEssential,NonEssential
MSMEG0376,MSMEG0376,NonEssential,NonEssential
MSMEG0377,MSMEG0377,NonEssential,NonEssential
MSMEG0378,nthA,NonEssential,NonEssential
MSMEG0379,MSMEG0379,NonEssential,NonEssential
MSMEG0380,MSMEG0380,NonEssential,NonEssential
MSMEG0381,MSMEG0381,NonEssential,NonEssential
MSMEG0382,MSMEG0382,NonEssential,NonEssential
MSMEG0383,MSMEG0383,NonEssential,NonEssential
MSMEG0384,rfbA,Essential,Essential
MSMEG0385,MSMEG0385,NonEssential,NonEssential
MSMEG0386,MSMEG0386,Essential,NonEssential
MSMEG0387,MSMEG0387,NonEssential,NonEssential
MSMEG0388,tylF,NonEssential,Essential
MSMEG0389,MSMEG0389,Essential,Essential
MSMEG0390,MSMEG0390,NonEssential,NonEssential
MSMEG0391,MSMEG0391,NonEssential,NonEssential
MSMEG0392,MSMEG0392,Essential,Essential
MSMEG0393,MSMEG0393,NonEssential,NonEssential
MSMEG0394,MSMEG0394,NonEssential,NonEssential
MSMEG0395,MSMEG0395,Unknown,NonEssential
MSMEG0399,MSMEG0399,NonEssential,NonEssential
MSMEG0400,MSMEG0400,NonEssential,NonEssential
MSMEG0401,MSMEG0401,NonEssential,NonEssential
MSMEG0402,MSMEG0402,NonEssential,NonEssential
MSMEG0403,MSMEG0403,NonEssential,NonEssential
MSMEG0404,MSMEG0404,NonEssential,NonEssential
MSMEG0405,MSMEG0405,NonEssential,NonEssential
MSMEG0406,MSMEG0406,NonEssential,NonEssential
MSMEG0407,MSMEG0407,NonEssential,NonEssential
MSMEG0408,MSMEG0408,NonEssential,NonEssential
MSMEG0409,MSMEG0409,NonEssential,NonEssential
MSMEG0410,MSMEG0410,NonEssential,NonEssential
MSMEG0411,MSMEG0411,NonEssential,NonEssential
MSMEG0412,MSMEG0412,NonEssential,NonEssential
MSMEG0413,MSMEG0413,NonEssential,NonEssential
MSMEG0414,MSMEG0414,NonEssential,NonEssential
MSMEG0415,MSMEG0415,NonEssential,NonEssential
MSMEG0417,MSMEG0417,NonEssential,NonEssential
MSMEG0418,sdhA,NonEssential,NonEssential
MSMEG0419,MSMEG0419,NonEssential,NonEssential
MSMEG0420,MSMEG0420,NonEssential,NonEssential
MSMEG0421,MSMEG0421,NonEssential,NonEssential
MSMEG0422,MSMEG0422,NonEssential,NonEssential
MSMEG0423,MSMEG0423,NonEssential,NonEssential
MSMEG0424,MSMEG0424,NonEssential,NonEssential
MSMEG0425,MSMEG0425,NonEssential,NonEssential
MSMEG0426,MSMEG0426,NonEssential,NonEssential
MSMEG0427,nirB,NonEssential,NonEssential
MSMEG0428,MSMEG0428,NonEssential,NonEssential
MSMEG0429,MSMEG0429,NonEssential,NonEssential
MSMEG0431,MSMEG0431,NonEssential,NonEssential
MSMEG0432,MSMEG0432,NonEssential,NonEssential
MSMEG0433,MSMEG0433,NonEssential,NonEssential
MSMEG0434,MSMEG0434,NonEssential,NonEssential
MSMEG0435,MSMEG0435,NonEssential,NonEssential
MSMEG0436,MSMEG0436,NonEssential,NonEssential
MSMEG0437,MSMEG0437,NonEssential,NonEssential
MSMEG0438,MSMEG0438,NonEssential,NonEssential
MSMEG0439,MSMEG0439,NonEssential,NonEssential
MSMEG0440,MSMEG0440,Unknown,NonEssential
MSMEG0441,MSMEG0441,NonEssential,NonEssential
MSMEG0442,MSMEG0442,NonEssential,NonEssential
MSMEG0443,MSMEG0443,NonEssential,NonEssential
MSMEG0444,MSMEG0444,NonEssential,NonEssential
MSMEG0445,MSMEG0445,NonEssential,NonEssential
MSMEG0446,MSMEG0446,NonEssential,NonEssential
MSMEG0447,MSMEG0447,NonEssential,NonEssential
MSMEG0448,MSMEG0448,NonEssential,NonEssential
MSMEG0449,MSMEG0449,NonEssential,NonEssential
MSMEG0450,MSMEG0450,NonEssential,NonEssential
MSMEG0451,MSMEG0451,NonEssential,NonEssential
MSMEG0452,MSMEG0452,NonEssential,NonEssential
MSMEG0453,aroK,NonEssential,NonEssential
MSMEG0454,MSMEG0454,NonEssential,NonEssential
MSMEG0455,MSMEG0455,NonEssential,NonEssential
MSMEG0456,MSMEG0456,NonEssential,NonEssential
MSMEG0457,MSMEG0457,NonEssential,NonEssential
MSMEG0458,MSMEG0458,NonEssential,NonEssential
MSMEG0459,MSMEG0459,NonEssential,NonEssential
MSMEG0460,MSMEG0460,NonEssential,NonEssential
MSMEG0461,MSMEG0461,NonEssential,NonEssential
MSMEG0462,MSMEG0462,NonEssential,NonEssential
MSMEG0463,MSMEG0463,NonEssential,NonEssential
MSMEG0464,MSMEG0464,NonEssential,NonEssential
MSMEG0465,MSMEG0465,NonEssential,NonEssential
MSMEG0466,MSMEG0466,NonEssential,NonEssential
MSMEG0467,MSMEG0467,NonEssential,NonEssential
MSMEG0468,MSMEG0468,NonEssential,NonEssential
MSMEG0469,MSMEG0469,NonEssential,NonEssential
MSMEG0470,MSMEG0470,NonEssential,NonEssential
MSMEG0471,MSMEG0471,NonEssential,NonEssential
MSMEG0472,MSMEG0472,NonEssential,NonEssential
MSMEG0473,MSMEG0473,NonEssential,NonEssential
MSMEG0474,MSMEG0474,NonEssential,NonEssential
MSMEG0475,MSMEG0475,NonEssential,NonEssential
MSMEG0476,MSMEG0476,NonEssential,NonEssential
MSMEG0477,MSMEG0477,NonEssential,NonEssential
MSMEG0478,MSMEG0478,NonEssential,NonEssential
MSMEG0479,MSMEG0479,NonEssential,NonEssential
MSMEG0480,MSMEG0480,NonEssential,NonEssential
MSMEG0481,MSMEG0481,NonEssential,NonEssential
MSMEG0482,MSMEG0482,NonEssential,NonEssential
MSMEG0483,MSMEG0483,NonEssential,NonEssential
MSMEG0484,MSMEG0484,NonEssential,NonEssential
MSMEG0485,MSMEG0485,NonEssential,NonEssential
